,randomized,simple_reflex,model_based,size
0,210,83,30,5
1,316,49,23,5
2,352,42,21,5
3,667,359,39,5
4,420,144,39,5
5,564,100,24,5
6,240,23,26,5
7,1257,86,43,5
8,93,108,30,5
9,960,210,36,5
10,384,292,45,5
11,723,55,36,5
12,751,124,46,5
13,398,44,41,5
14,207,282,35,5
15,969,48,32,5
16,94,17,19,5
17,893,357,39,5
18,491,99,29,5
19,887,47,33,5
20,806,111,35,5
21,413,137,32,5
22,84,83,31,5
23,266,179,37,5
24,233,47,20,5
25,471,61,37,5
26,293,104,37,5
27,247,41,27,5
28,788,125,33,5
29,588,50,35,5
30,513,177,47,5
31,490,33,32,5
32,462,33,22,5
33,737,85,41,5
34,489,159,49,5
35,1019,59,39,5
36,514,136,47,5
37,530,138,42,5
38,1327,48,31,5
39,798,82,37,5
40,522,11,11,5
41,803,93,26,5
42,895,200,41,5
43,334,86,47,5
44,906,140,42,5
45,595,112,47,5
46,496,151,39,5
47,485,51,28,5
48,790,177,47,5
49,777,220,35,5
50,344,121,36,5
51,249,122,34,5
52,204,83,32,5
53,163,42,38,5
54,436,44,35,5
55,534,128,43,5
56,345,70,26,5
57,401,89,34,5
58,508,139,40,5
59,886,59,38,5
60,223,77,33,5
61,396,153,26,5
62,893,133,34,5
63,454,194,37,5
64,2,1,1,5
65,1305,46,34,5
66,388,42,30,5
67,308,157,31,5
68,219,79,37,5
69,590,200,48,5
70,430,66,41,5
71,540,63,32,5
72,555,74,32,5
73,448,21,32,5
74,307,135,29,5
75,314,87,35,5
76,153,16,28,5
77,793,281,43,5
78,430,80,46,5
79,77,22,32,5
80,730,30,37,5
81,298,91,42,5
82,392,63,37,5
83,617,140,44,5
84,168,102,32,5
85,543,287,32,5
86,405,405,41,5
87,1373,72,32,5
88,1333,80,50,5
89,838,46,38,5
90,344,52,31,5
91,273,97,25,5
92,306,76,34,5
93,373,93,31,5
94,536,61,33,5
95,378,219,39,5
96,545,66,35,5
97,1592,152,33,5
98,342,186,35,5
99,789,41,29,5
100,4753,875,161,10
101,2420,568,156,10
102,3461,1480,157,10
103,3833,864,145,10
104,4526,506,133,10
105,1939,1682,143,10
106,3677,1309,155,10
107,2945,1776,158,10
108,7808,742,143,10
109,2090,458,131,10
110,4967,1178,144,10
111,1607,766,143,10
112,3432,608,140,10
113,1135,473,130,10
114,2533,949,150,10
115,4126,775,163,10
116,2710,876,140,10
117,5722,892,140,10
118,4395,663,137,10
119,3312,941,138,10
120,4169,1412,143,10
121,3399,1407,141,10
122,5179,1343,130,10
123,4038,1055,136,10
124,4160,1130,141,10
125,3547,537,132,10
126,4201,1333,139,10
127,5191,680,133,10
128,6113,613,157,10
129,2216,489,136,10
130,4162,2070,152,10
131,5869,1329,143,10
132,4283,848,146,10
133,3919,792,150,10
134,3795,1177,155,10
135,3191,866,145,10
136,2548,1650,151,10
137,3149,727,135,10
138,1858,1249,143,10
139,1897,982,139,10
140,3192,1195,147,10
141,2547,530,137,10
142,6447,677,113,10
143,2330,937,166,10
144,2197,690,141,10
145,3009,498,132,10
146,4371,652,139,10
147,2896,632,131,10
148,2501,890,127,10
149,2521,1454,145,10
150,3175,679,136,10
151,2693,907,129,10
152,3230,1668,154,10
153,2927,982,145,10
154,4503,3122,164,10
155,2609,645,152,10
156,1464,1797,141,10
157,3588,977,148,10
158,2779,1768,155,10
159,6040,770,152,10
160,3731,672,143,10
161,4827,838,149,10
162,1992,487,122,10
163,3125,586,146,10
164,3857,896,133,10
165,3126,805,134,10
166,3851,632,144,10
167,4277,1126,149,10
168,3163,881,158,10
169,3735,1148,132,10
170,4221,586,142,10
171,3025,982,148,10
172,3200,1466,142,10
173,1522,444,128,10
174,1128,851,137,10
175,4561,1223,144,10
176,2173,462,170,10
177,3010,581,136,10
178,3820,1245,135,10
179,4449,2026,143,10
180,3523,825,141,10
181,1846,1055,150,10
182,2716,1059,126,10
183,3728,709,137,10
184,2544,1051,125,10
185,5718,1209,161,10
186,5252,557,155,10
187,5415,1608,145,10
188,3254,803,160,10
189,4780,685,142,10
190,1990,599,127,10
191,2764,890,130,10
192,3665,1480,143,10
193,3726,1236,137,10
194,8384,507,142,10
195,2566,580,156,10
196,6014,1235,143,10
197,2551,795,127,10
198,3930,468,134,10
199,3427,965,146,10
200,942879,315530,14194,100
201,850207,303278,14009,100
202,1899635,346242,14079,100
203,1139110,291130,14179,100
204,1013321,288738,14118,100
205,871690,547759,14051,100
206,918838,357486,14247,100
207,1111392,303482,14177,100
208,881097,385763,14121,100
209,1076510,354640,14153,100
210,1136707,322861,14076,100
211,1233113,280302,14229,100
212,1116698,331567,13979,100
213,1220905,299349,13944,100
214,1650492,248203,14112,100
215,1285253,360095,14167,100
216,1195241,540625,14070,100
217,880244,344891,14080,100
218,1066646,427874,14200,100
219,1088633,365019,14141,100
220,791536,323345,14044,100
221,854256,447060,14009,100
222,1193877,279434,14130,100
223,1051096,236754,14070,100
224,937858,238832,13944,100
225,970235,271755,14038,100
226,903894,483863,13986,100
227,1146538,352460,14052,100
228,944499,272373,13973,100
229,971142,341963,14074,100
230,1004143,249077,14020,100
231,1510338,396474,14074,100
232,865569,163527,14145,100
233,1047352,324645,14107,100
234,727134,443234,14125,100
235,1217761,290793,13982,100
236,951615,255717,14054,100
237,946891,248351,14037,100
238,843872,432003,14212,100
239,831253,359826,14004,100
240,983867,326939,14109,100
241,1202769,373755,14012,100
242,1297373,351639,13952,100
243,1179053,255534,13976,100
244,811598,352231,14164,100
245,1063032,417116,14111,100
246,874087,313730,14078,100
247,733376,395270,13973,100
248,1049892,269533,14071,100
249,734524,206485,14168,100
250,1065135,596809,14062,100
251,1109582,292237,14130,100
252,810111,351212,14137,100
253,839313,252815,14242,100
254,1122098,410392,14097,100
255,935077,356289,14328,100
256,833326,735424,14044,100
257,774095,235526,14005,100
258,1012645,223984,14065,100
259,782250,247732,14089,100
260,758606,320729,14135,100
261,1310644,376295,13992,100
262,1088616,399112,14136,100
263,1008425,301634,14106,100
264,1178474,511210,14205,100
265,781988,277200,14102,100
266,961833,335121,14076,100
267,972675,377069,14271,100
268,1074659,340947,13959,100
269,1022349,267455,14121,100
270,729021,267769,14105,100
271,796951,471215,14143,100
272,868466,452951,14106,100
273,905458,389763,14008,100
274,842912,320298,13943,100
275,949542,394640,14174,100
276,773954,285111,14214,100
277,1201475,265257,13999,100
278,995256,305861,14300,100
279,1343823,383133,14093,100
280,1084666,447240,13981,100
281,927478,450758,14242,100
282,944226,362010,14284,100
283,815143,278953,14007,100
284,740598,561822,13955,100
285,1052973,278553,14050,100
286,892472,336725,14051,100
287,1007115,854185,14078,100
288,1397937,310904,14097,100
289,1820137,259124,14166,100
290,829148,281174,14153,100
291,931328,287943,14059,100
292,1137036,200687,14157,100
293,1126941,339796,14175,100
294,916025,373769,13984,100
295,900144,298112,14089,100
296,1057478,305351,14122,100
297,975061,226246,14092,100
298,959020,334697,14085,100
299,1285704,431067,14072,100
